quarter_idx,split,stock_id,stock_name,future_return_1q,score,portfolio_rank,weight,strategy,score_col,topk,buffer_rule
18,train,600423.SH,柳化股份,6.54545454545454,0.9915730337078652,13,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
18,train,002652.SZ,扬子新材,0.260416666666674,0.990870786516854,14,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
18,train,002370.SZ,亚太药业,9.43396226415094,0.9901685393258428,15,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
18,train,600817.SH,宇通重工,20.7264957264957,0.9894662921348316,16,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
18,train,600238.SH,海南椰岛,-23.7373737373737,0.9887640449438202,17,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
18,train,002058.SZ,威尔泰,-8.58725761772853,0.988061797752809,18,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
18,train,600768.SH,宁波富邦,1.47835269271384,0.9873595505617978,19,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
18,train,300046.SZ,台基股份,8.79396984924623,0.9866573033707864,20,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
19,train,600127.SH,金健米业,-0.53050397877985,1.0,1,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
19,train,300318.SZ,博晖创新,-18.75,0.9992977528089888,2,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
19,train,000410.SZ,沈阳机床,-16.3265306122449,0.9985955056179776,3,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
19,train,002466.SZ,天齐锂业,92.972972972973,0.9978932584269664,4,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
19,train,300391.SZ,长药控股,-37.873417721519,0.9971910112359552,5,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
19,train,600391.SH,航发科技,12.832824094282,0.9964887640449438,6,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
19,train,300238.SZ,冠昊生物,1.6579053780833,0.9957865168539326,7,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
19,train,600416.SH,湘电股份,21.9058686809994,0.9950842696629212,8,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
19,train,300223.SZ,北京君正,16.7708998085514,0.99438202247191,9,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
19,train,002151.SZ,北斗星通,-0.953307392996117,0.9936797752808988,10,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
19,train,300111.SZ,向日葵,-16.6666666666667,0.9929775280898876,11,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
19,train,600572.SH,康恩贝,-10.2857142857143,0.9922752808988764,12,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
19,train,600601.SH,方正科技,-6.14657210401893,0.9915730337078652,13,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
19,train,300278.SZ,华昌达,-24.6353322528363,0.9901685393258428,14,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
19,train,300046.SZ,台基股份,15.9722222222222,0.9894662921348316,15,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
19,train,002319.SZ,乐通股份,-16.2393162393162,0.9866573033707864,16,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
19,train,600213.SH,*ST亚星,30.2158273381295,0.985252808988764,17,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
19,train,600319.SH,亚星化学,11.3733905579399,0.9845505617977528,18,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
19,train,002370.SZ,亚太药业,-26.3261296660118,0.9838483146067416,19,0.05,robust__pure_stagewise_score__none_top20_buffer,robust__pure_stagewise_score__none,20,buffer
